Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
IL 6335|Боинг-777|230|Махачкала|Уйташ|Сабетта|Сабетта|04.11.2020 15:30:00|04.11.2020 17:49:00|
IC 3930|Сc-100|47|Чебоксары|Чебоксары|Санкт - Петербург|Пулково|04.11.2020 10:12:00|04.11.2020 12:42:00|
GA 5264|Ту-154 |73|Курумоч|Курумоч|Нижний Новгород|Стригино|04.11.2020 22:13:00|05.11.2020 0:50:00|
EI 8910|Боинг-777|199|Калуга|Грабцево|Саратов|Гагарин|04.11.2020 14:44:00|04.11.2020 18:01:00|
BP 3392|Ту-204|210|Южно - Сахалинск|Хомутово|Петрозаводск|Петрозаводск|04.11.2020 10:05:00|04.11.2020 11:16:00|
YS 0534|Аэробус-A330|437|Чита|Кадала|Череповец|Череповец|04.11.2020 10:54:00|04.11.2020 14:10:00|
PU 5369|ИЛ-96М|142|Нижний Новгород|Стригино|Санкт - Петербург|Пулково|04.11.2020 21:17:00|05.11.2020 0:23:00|
KE 4164|Боинг-767|91|Ульяновск|Баратаевка|Новокузнецк|Спиченково|04.11.2020 16:40:00|04.11.2020 19:17:00|
TQ 5949|ИЛ-96-300|156|Хабаровск|Хабаровск-Новый|Чебоксары|Чебоксары|04.11.2020 9:39:00|04.11.2020 14:24:00|
FF 0772|ИЛ-62|169|Ставрополь|Шпаковское|Псков|Кресты|04.11.2020 13:48:00|04.11.2020 15:47:00|
QQ 4578|Аэробус-A320|124|Сургут|Сургут|Новосибирск|Толмачёво|04.11.2020 11:32:00|04.11.2020 13:38:00|
NC 1810|ИЛ-96-300|214|Ханты - Мансийск|Ханты - Мансийск|Магнитогорск|Магнитогорск|04.11.2020 1:08:00|04.11.2020 5:18:00|
DA 6330|Ту-204|90|Чебоксары|Чебоксары|Мурманск|Мурманск|04.11.2020 22:20:00|05.11.2020 0:05:00|
DQ 6795|Ту-204|132|Кемерово|Кемерово|Нальчик|Нальчик|04.11.2020 16:58:00|04.11.2020 19:48:00|
FP 5163|ИЛ-96|170|Москва|Домодедово|Калининград|Храброво|04.11.2020 15:23:00|04.11.2020 17:03:00|
SP 0031|ИЛ-96-300|260|Оренбург|Оренбург-Центральный|Москва|Шереметьево|04.11.2020 1:08:00|04.11.2020 3:34:00|
FM 3299|ИЛ-96|170|Нижний Новгород|Стригино|Тюмень|Рощино|04.11.2020 16:46:00|04.11.2020 20:58:00|
GN 2070|ИЛ-86|276|Братск|Братск|Сыктывкар|Сыктывкар|04.11.2020 8:14:00|04.11.2020 9:43:00|
FF 4994|Боинг-777|119|Ульяновск|Восточный|Москва|Жуковский|04.11.2020 13:13:00|04.11.2020 15:30:00|
ZN 2954|ИЛ-62|135|Петропавловск - Камчатский|Елизово|Новокузнецк|Спиченково|04.11.2020 17:29:00|04.11.2020 21:08:00|
QX 5419|Боинг-777|201|Махачкала|Уйташ|Челябинск|Баландино|04.11.2020 10:33:00|04.11.2020 15:09:00|
YX 4656|Боинг-747|183|Красноярск|Емельяново|Минеральные Воды|Минеральные Воды|04.11.2020 13:10:00|04.11.2020 15:06:00|
NM 5997|ИЛ-96-300|123|Москва|Внуково|Грозный|Северный|04.11.2020 18:26:00|04.11.2020 20:29:00|
HU 5308|ИЛ-86|239|Грозный|Северный|Нальчик|Нальчик|04.11.2020 1:55:00|04.11.2020 3:02:00|
QJ 2739|Сc-100|93|Астрахань|Нариманово|Якутск|Якутск|04.11.2020 5:28:00|04.11.2020 10:16:00|
LE 6857|ИЛ-62|92|Братск|Братск|Пермь|Большое Савино|04.11.2020 22:57:00|05.11.2020 1:22:00|
XC 5755|Боинг-777|224|Саратов|Гагарин|Томск|Богашёво|04.11.2020 0:41:00|04.11.2020 4:51:00|
CT 3523|Боинг-747|107|Братск|Братск|Калуга|Грабцево|04.11.2020 23:23:00|05.11.2020 3:53:00|
OK 7902|Боинг-737|37|Воронеж|Чертовицкое|Москва|Домодедово|04.11.2020 8:19:00|04.11.2020 11:14:00|
LF 0926|Ту-204|184|Челябинск|Баландино|Астрахань|Нариманово|04.11.2020 21:34:00|04.11.2020 23:51:00|
JE 2655|ИЛ-86|232|Грозный|Северный|Красноярск|Емельяново|04.11.2020 3:48:00|04.11.2020 7:47:00|
ZB 7679|Сc-100|83|Петрозаводск|Петрозаводск|Магадан|Сокол|04.11.2020 1:08:00|04.11.2020 5:59:00|
PU 0468|ИЛ-86|255|Сабетта|Сабетта|Самара|Самара|04.11.2020 18:31:00|04.11.2020 23:01:00|
XM 8528|Ту-204|146|Ханты - Мансийск|Ханты - Мансийск|Екатеринбург|Кольцово|04.11.2020 1:17:00|04.11.2020 3:28:00|
NP 5071|ИЛ-96М|308|Екатеринбург|Кольцово|Благовещенск|Игнатьево|04.11.2020 13:47:00|04.11.2020 17:28:00|
UD 0029|Ту-154 |145|Воронеж|Чертовицкое|Калининград|Храброво|04.11.2020 22:05:00|04.11.2020 23:39:00|
YM 4400|Ту-204|112|Череповец|Череповец|Ярославль|Туношна|04.11.2020 4:38:00|04.11.2020 9:21:00|
HQ 2582|Аэробус-A330|297|Петрозаводск|Петрозаводск|Курумоч|Курумоч|04.11.2020 12:48:00|04.11.2020 17:40:00|
ET 4706|Боинг-777|169|Якутск|Якутск|Новокузнецк|Спиченково|04.11.2020 4:43:00|04.11.2020 5:53:00|
FK 3348|ИЛ-96-300|135|Махачкала|Уйташ|Благовещенск|Игнатьево|04.11.2020 14:36:00|04.11.2020 17:07:00|
JP 6638|Аэробус-A320|92|Чита|Кадала|Чебоксары|Чебоксары|04.11.2020 4:53:00|04.11.2020 8:16:00|
KO 5418|Боинг-747|247|Барнаул|Барнаул|Воронеж|Чертовицкое|04.11.2020 6:12:00|04.11.2020 10:03:00|
PK 6081|Аэробус-A330|427|Пермь|Большое Савино|Ярославль|Туношна|04.11.2020 9:13:00|04.11.2020 11:22:00|
WM 5741|Аэробус-A310|83|Сочи|Адлер|Якутск|Якутск|04.11.2020 18:36:00|04.11.2020 21:29:00|
ZG 8243|Ту-154 |65|Курск|Восточный|Москва|Внуково|04.11.2020 5:51:00|04.11.2020 7:09:00|
QT 6132|ИЛ-62|174|Сыктывкар|Сыктывкар|Уфа|Уфа|04.11.2020 3:21:00|04.11.2020 7:16:00|
EJ 4569|ИЛ-96-300|143|Минеральные Воды|Минеральные Воды|Владикавказ|Беслан|04.11.2020 1:17:00|04.11.2020 4:34:00|
WR 1753|Боинг-747|167|Владикавказ|Беслан|Махачкала|Уйташ|04.11.2020 14:39:00|04.11.2020 18:13:00|
GO 6967|Боинг-777|184|Иркутск|Иркутск|Москва|Жуковский|04.11.2020 16:43:00|04.11.2020 20:38:00|
PP 7605|Боинг-747|247|Волгоград|Гумрак|Варандей|Варандей|04.11.2020 16:03:00|04.11.2020 18:17:00|
CD 3929|Боинг-777|77|Липецк|Липецк|Владивосток|Кневичи|04.11.2020 17:26:00|04.11.2020 20:19:00|
PO 8864|Ту-134|83|Ярославль|Туношна|Нижнекамск|Бегишево|04.11.2020 15:33:00|04.11.2020 18:02:00|
QC 8329|Боинг-767|142|Ханты - Мансийск|Ханты - Мансийск|Мурманск|Мурманск|04.11.2020 8:15:00|04.11.2020 10:00:00|
ZX 6020|Ту-204|145|Воронеж|Чертовицкое|Нальчик|Нальчик|04.11.2020 21:21:00|05.11.2020 0:07:00|
UW 4897|ИЛ-96|165|Хабаровск|Хабаровск-Новый|Братск|Братск|04.11.2020 3:56:00|04.11.2020 8:42:00|
XF 0485|ИЛ-96М|282|Санкт - Петербург|Пулково|Иркутск|Иркутск|04.11.2020 3:59:00|04.11.2020 6:06:00|
JP 8830|Ту-134|80|Курумоч|Курумоч|Ульяновск|Баратаевка|04.11.2020 21:04:00|04.11.2020 23:56:00|
JV 3865|Ту-154 |77|Казань|Казань|Псков|Кресты|04.11.2020 10:43:00|04.11.2020 14:03:00|
OX 9583|Боинг-747|236|Барнаул|Барнаул|Анадырь|Угольный|04.11.2020 1:02:00|04.11.2020 5:02:00|
TB 1062|ИЛ-96|107|Челябинск|Баландино|Санкт - Петербург|Пулково|04.11.2020 4:49:00|04.11.2020 8:00:00|
HB 0473|Ту-204|180|Самара|Самара|Калининград|Храброво|04.11.2020 19:08:00|04.11.2020 20:08:00|
FU 7582|Боинг-747|280|Майкоп|Майкоп|Волгоград|Гумрак|04.11.2020 2:08:00|04.11.2020 6:56:00|
UO 1407|Аэробус-A330|222|Сочи|Адлер|Челябинск|Баландино|04.11.2020 16:40:00|04.11.2020 18:46:00|
KB 9463|Боинг-777|182|Самара|Самара|Владивосток|Кневичи|04.11.2020 15:21:00|04.11.2020 19:45:00|
NM 6279|ИЛ-62|168|Варандей|Варандей|Томск|Богашёво|04.11.2020 14:16:00|04.11.2020 15:52:00|
WA 7730|Боинг-767|175|Пермь|Большое Савино|Челябинск|Баландино|04.11.2020 22:53:00|05.11.2020 1:57:00|
ZY 2515|Ту-134|45|Тюмень|Рощино|Симферополь|Симферополь|04.11.2020 15:31:00|04.11.2020 17:12:00|
XA 4513|Сc-100|63|Краснодар|Пашковский|Новосибирск|Толмачёво|04.11.2020 23:54:00|05.11.2020 4:09:00|
HD 2306|ИЛ-86|142|Воронеж|Чертовицкое|Астрахань|Нариманово|04.11.2020 12:33:00|04.11.2020 16:01:00|
EY 9260|Сc-100|39|Красноярск|Емельяново|Нальчик|Нальчик|04.11.2020 1:02:00|04.11.2020 5:16:00|
GK 0462|Аэробус-A320|144|Челябинск|Баландино|Оренбург|Оренбург-Центральный|04.11.2020 22:28:00|05.11.2020 2:08:00|
MT 9539|Боинг-777|151|Калуга|Грабцево|Якутск|Якутск|04.11.2020 14:02:00|04.11.2020 18:28:00|
NK 6202|ИЛ-62|94|Брянск|Брянск|Самара|Самара|04.11.2020 4:44:00|04.11.2020 7:19:00|
YB 2169|Боинг-737|34|Белгород|Белгород|Барнаул|Барнаул|04.11.2020 4:43:00|04.11.2020 6:12:00|
EW 3364|ИЛ-96|155|Магнитогорск|Магнитогорск|Абакан|Абакан|04.11.2020 17:38:00|04.11.2020 20:53:00|
ZT 4857|Боинг-747|288|Симферополь|Симферополь|Белгород|Белгород|04.11.2020 5:04:00|04.11.2020 7:20:00|
JU 8854|Аэробус-A310|167|Благовещенск|Игнатьево|Иркутск|Иркутск|04.11.2020 22:48:00|05.11.2020 3:43:00|
ZO 5885|ИЛ-96М|161|Екатеринбург|Кольцово|Орск|Орск|04.11.2020 14:14:00|04.11.2020 17:31:00|
SV 1390|Сc-100|54|Тюмень|Рощино|Владивосток|Кневичи|04.11.2020 22:31:00|05.11.2020 1:12:00|
UW 6694|Ту-134|64|Ярославль|Туношна|Нижнекамск|Бегишево|04.11.2020 8:52:00|04.11.2020 10:39:00|
LF 2462|Аэробус-A310|56|Ярославль|Туношна|Курумоч|Курумоч|04.11.2020 17:43:00|04.11.2020 19:41:00|
VG 6916|ИЛ-86|196|Кемерово|Кемерово|Нижневартовск|Нижневартовск|04.11.2020 10:33:00|04.11.2020 14:01:00|
RY 0438|ИЛ-96-300|222|Майкоп|Майкоп|Саранск|Саранск|04.11.2020 3:24:00|04.11.2020 6:14:00|
LB 4239|Боинг-767|202|Петрозаводск|Петрозаводск|Мурманск|Мурманск|04.11.2020 22:02:00|05.11.2020 0:18:00|
LF 7407|Боинг-747|103|Братск|Братск|Москва|Внуково|04.11.2020 23:31:00|05.11.2020 1:46:00|
BY 4484|ИЛ-96М|351|Чита|Кадала|Москва|Жуковский|04.11.2020 1:59:00|04.11.2020 3:24:00|
SJ 8571|ИЛ-96|61|Благовещенск|Игнатьево|Южно - Сахалинск|Хомутово|04.11.2020 1:56:00|04.11.2020 5:37:00|
PG 3544|Аэробус-A330|151|Барнаул|Барнаул|Санкт - Петербург|Пулково|04.11.2020 6:06:00|04.11.2020 9:32:00|
DF 5706|ИЛ-96-300|249|Магадан|Сокол|Екатеринбург|Кольцово|04.11.2020 4:34:00|04.11.2020 8:16:00|
CE 2824|Аэробус-A310|78|Белгород|Белгород|Ярославль|Туношна|04.11.2020 7:20:00|04.11.2020 12:06:00|
HU 0396|ИЛ-96|69|Ростов - на - Дону|Платов|Челябинск|Баландино|04.11.2020 11:19:00|04.11.2020 15:49:00|
PD 7032|Ту-134|83|Петропавловск - Камчатский|Елизово|Псков|Кресты|04.11.2020 19:15:00|04.11.2020 22:03:00|
CG 4352|ИЛ-96|73|Белгород|Белгород|Грозный|Северный|04.11.2020 21:58:00|05.11.2020 0:04:00|
FR 5117|ИЛ-96-300|147|Архангельск|Талаги|Барнаул|Барнаул|04.11.2020 10:03:00|04.11.2020 13:39:00|
EO 1962|Ту-204|136|Сыктывкар|Сыктывкар|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 16:15:00|04.11.2020 18:52:00|
YV 7228|Ту-134|33|Курумоч|Курумоч|Хабаровск|Хабаровск-Новый|04.11.2020 6:26:00|04.11.2020 9:11:00|
QZ 0849|ИЛ-86|282|Владивосток|Кневичи|Брянск|Брянск|04.11.2020 0:05:00|04.11.2020 3:26:00|
JC 7728|Боинг-767|214|Пермь|Большое Савино|Петропавловск - Камчатский|Елизово|04.11.2020 15:45:00|04.11.2020 19:51:00|
HQ 5448|ИЛ-96М|181|Казань|Казань|Магнитогорск|Магнитогорск|04.11.2020 9:59:00|04.11.2020 12:41:00|
LN 5077|Сc-100|77|Екатеринбург|Кольцово|Кемерово|Кемерово|04.11.2020 23:37:00|05.11.2020 2:14:00|
FJ 4140|Аэробус-A330|254|Курган|Курган|Кемерово|Кемерово|04.11.2020 17:40:00|04.11.2020 19:19:00|
GA 4437|Боинг-747|120|Якутск|Якутск|Казань|Казань|04.11.2020 12:50:00|04.11.2020 17:37:00|
GW 3834|Боинг-737|70|Анадырь|Угольный|Нижний Новгород|Стригино|04.11.2020 19:12:00|05.11.2020 0:06:00|
NZ 3623|Ту-154 |106|Ростов - на - Дону|Платов|Краснодар|Пашковский|04.11.2020 19:43:00|05.11.2020 0:15:00|
YC 2548|ИЛ-62|125|Нижневартовск|Нижневартовск|Петропавловск - Камчатский|Елизово|04.11.2020 0:29:00|04.11.2020 5:20:00|
IV 7596|ИЛ-62|115|Сыктывкар|Сыктывкар|Белгород|Белгород|04.11.2020 20:22:00|05.11.2020 1:12:00|
YZ 4975|Ту-154 |93|Иркутск|Иркутск|Ярославль|Туношна|04.11.2020 4:28:00|04.11.2020 5:52:00|
NB 5412|Ту-154 |81|Анапа|Витязево|Иркутск|Иркутск|04.11.2020 19:07:00|04.11.2020 21:36:00|
YD 4474|Ту-204|131|Сабетта|Сабетта|Оренбург|Оренбург-Центральный|04.11.2020 1:34:00|04.11.2020 5:49:00|
SA 5085|Ту-134|82|Самара|Самара|Магнитогорск|Магнитогорск|04.11.2020 21:19:00|05.11.2020 2:07:00|
GU 6155|Боинг-737|67|Минеральные Воды|Минеральные Воды|Провидения|Бухта Провидения|04.11.2020 22:47:00|05.11.2020 0:51:00|
XI 6234|Боинг-767|130|Хабаровск|Хабаровск-Новый|Санкт - Петербург|Пулково|04.11.2020 18:57:00|04.11.2020 21:21:00|
OE 5515|Ту-154 |133|Хабаровск|Хабаровск-Новый|Челябинск|Баландино|04.11.2020 19:29:00|04.11.2020 20:36:00|
DX 3075|ИЛ-62|142|Саратов|Гагарин|Симферополь|Симферополь|04.11.2020 3:25:00|04.11.2020 4:27:00|
DS 6658|Сc-100|41|Калуга|Грабцево|Санкт - Петербург|Пулково|04.11.2020 20:52:00|04.11.2020 23:56:00|
PK 4938|Боинг-737|59|Элиста|Элиста|Белгород|Белгород|04.11.2020 22:50:00|05.11.2020 3:31:00|
TK 7534|Ту-154 |57|Благовещенск|Игнатьево|Ростов - на - Дону|Платов|04.11.2020 3:12:00|04.11.2020 5:42:00|
BU 8205|Ту-204|103|Иркутск|Иркутск|Пермь|Большое Савино|04.11.2020 2:49:00|04.11.2020 5:14:00|
OJ 6537|Боинг-747|218|Саранск|Саранск|Новосибирск|Толмачёво|04.11.2020 10:40:00|04.11.2020 13:05:00|
SX 4203|Аэробус-A330|133|Череповец|Череповец|Нижний Новгород|Стригино|04.11.2020 11:43:00|04.11.2020 16:39:00|
PL 6906|Боинг-737|113|Братск|Братск|Москва|Шереметьево|04.11.2020 9:34:00|04.11.2020 11:42:00|
AA 7274|ИЛ-96М|355|Братск|Братск|Магнитогорск|Магнитогорск|04.11.2020 20:56:00|05.11.2020 0:11:00|
ZR 3312|Боинг-737|64|Магадан|Сокол|Брянск|Брянск|04.11.2020 23:46:00|05.11.2020 2:30:00|
XB 3330|Аэробус-A330|360|Элиста|Элиста|Красноярск|Емельяново|04.11.2020 5:43:00|04.11.2020 9:50:00|
QT 2238|Ту-134|64|Чебоксары|Чебоксары|Псков|Кресты|04.11.2020 15:43:00|04.11.2020 17:56:00|
TX 9027|ИЛ-96|90|Сабетта|Сабетта|Псков|Кресты|04.11.2020 8:46:00|04.11.2020 9:53:00|
CY 8781|Аэробус-A320|143|Екатеринбург|Кольцово|Петрозаводск|Петрозаводск|04.11.2020 3:04:00|04.11.2020 7:12:00|
RZ 9827|Аэробус-A310|58|Уфа|Уфа|Череповец|Череповец|04.11.2020 20:53:00|04.11.2020 22:00:00|
SI 4358|ИЛ-96-300|134|Абакан|Абакан|Сыктывкар|Сыктывкар|04.11.2020 17:06:00|04.11.2020 21:21:00|
FW 9917|Боинг-777|150|Ростов - на - Дону|Платов|Самара|Самара|04.11.2020 9:47:00|04.11.2020 12:18:00|
JT 0929|Боинг-767|216|Ростов - на - Дону|Платов|Магнитогорск|Магнитогорск|04.11.2020 20:50:00|04.11.2020 22:04:00|
UH 4191|Боинг-737|69|Грозный|Северный|Новокузнецк|Спиченково|04.11.2020 1:54:00|04.11.2020 5:54:00|
WB 5761|Аэробус-A310|75|Калининград|Храброво|Курск|Восточный|04.11.2020 7:04:00|04.11.2020 10:01:00|
LY 0870|Ту-154 |60|Нижний Новгород|Стригино|Махачкала|Уйташ|04.11.2020 0:31:00|04.11.2020 4:20:00|
YQ 9469|Ту-134|65|Челябинск|Баландино|Якутск|Якутск|04.11.2020 6:51:00|04.11.2020 10:49:00|
ZU 8021|Ту-134|61|Мурманск|Мурманск|Новосибирск|Толмачёво|04.11.2020 10:19:00|04.11.2020 14:32:00|
MX 6555|ИЛ-62|185|Чебоксары|Чебоксары|Новосибирск|Толмачёво|04.11.2020 5:48:00|04.11.2020 9:29:00|
PQ 9827|Ту-134|94|Курган|Курган|Уфа|Уфа|04.11.2020 5:30:00|04.11.2020 6:58:00|
CD 2745|Ту-154 |140|Череповец|Череповец|Калининград|Храброво|04.11.2020 21:22:00|05.11.2020 0:12:00|
LH 8876|Сc-100|70|Томск|Богашёво|Анапа|Витязево|04.11.2020 12:39:00|04.11.2020 14:54:00|
KI 8694|Ту-134|56|Санкт - Петербург|Пулково|Сыктывкар|Сыктывкар|04.11.2020 16:10:00|04.11.2020 17:21:00|
LK 8470|ИЛ-96|151|Анапа|Витязево|Москва|Домодедово|04.11.2020 3:27:00|04.11.2020 5:02:00|
GI 5046|Ту-154 |67|Улан - Удэ|Мухино|Тюмень|Рощино|04.11.2020 0:14:00|04.11.2020 2:30:00|
DO 0081|Аэробус-A320|199|Элиста|Элиста|Новокузнецк|Спиченково|04.11.2020 18:21:00|04.11.2020 20:19:00|
DY 5686|Сc-100|82|Уфа|Уфа|Симферополь|Симферополь|04.11.2020 21:40:00|05.11.2020 0:04:00|
ME 8888|Сc-100|61|Омск|Омск-Центральный|Благовещенск|Игнатьево|04.11.2020 17:00:00|04.11.2020 20:26:00|
MZ 4577|Аэробус-A320|113|Екатеринбург|Кольцово|Уфа|Уфа|04.11.2020 15:11:00|04.11.2020 19:55:00|
IQ 5651|ИЛ-86|194|Волгоград|Гумрак|Петрозаводск|Петрозаводск|04.11.2020 19:03:00|04.11.2020 22:42:00|
NT 7918|Аэробус-A320|127|Саранск|Саранск|Мурманск|Мурманск|04.11.2020 7:15:00|04.11.2020 12:09:00|
RQ 1722|Аэробус-A330|417|Новокузнецк|Спиченково|Воронеж|Чертовицкое|04.11.2020 22:54:00|05.11.2020 1:54:00|
GK 1816|ИЛ-96М|160|Тюмень|Рощино|Нижневартовск|Нижневартовск|04.11.2020 10:15:00|04.11.2020 14:14:00|
CG 6552|ИЛ-86|230|Анадырь|Угольный|Курск|Восточный|04.11.2020 7:23:00|04.11.2020 9:51:00|
HP 7498|Ту-134|70|Калуга|Грабцево|Элиста|Элиста|04.11.2020 2:54:00|04.11.2020 5:02:00|
JZ 8357|ИЛ-96М|275|Москва|Внуково|Варандей|Варандей|04.11.2020 6:56:00|04.11.2020 10:25:00|
LG 8538|ИЛ-96|155|Благовещенск|Игнатьево|Волгоград|Гумрак|04.11.2020 8:24:00|04.11.2020 11:23:00|
GU 1565|Аэробус-A320|126|Петрозаводск|Петрозаводск|Псков|Кресты|04.11.2020 17:42:00|04.11.2020 21:51:00|
GV 8124|ИЛ-96-300|146|Владикавказ|Беслан|Нижневартовск|Нижневартовск|04.11.2020 17:43:00|04.11.2020 21:09:00|
UD 4555|Боинг-767|82|Волгоград|Гумрак|Краснодар|Пашковский|04.11.2020 8:51:00|04.11.2020 11:56:00|
LU 3091|Боинг-747|205|Краснодар|Пашковский|Омск|Омск-Центральный|04.11.2020 21:55:00|05.11.2020 2:38:00|
BN 1474|Боинг-747|297|Краснодар|Пашковский|Екатеринбург|Кольцово|04.11.2020 18:03:00|04.11.2020 19:19:00|
UC 7355|ИЛ-86|250|Ставрополь|Шпаковское|Иркутск|Иркутск|04.11.2020 0:03:00|04.11.2020 3:21:00|
HB 0995|Аэробус-A310|136|Провидения|Бухта Провидения|Элиста|Элиста|04.11.2020 21:45:00|05.11.2020 0:52:00|
NQ 5405|Ту-134|85|Чебоксары|Чебоксары|Абакан|Абакан|04.11.2020 19:53:00|05.11.2020 0:43:00|
PH 2171|ИЛ-86|132|Тюмень|Рощино|Челябинск|Баландино|04.11.2020 22:19:00|05.11.2020 0:27:00|
YS 4688|Аэробус-A320|88|Петрозаводск|Петрозаводск|Кемерово|Кемерово|04.11.2020 4:20:00|04.11.2020 6:02:00|
SQ 7682|Ту-154 |153|Екатеринбург|Кольцово|Анадырь|Угольный|04.11.2020 9:29:00|04.11.2020 11:26:00|
XA 3115|Ту-154 |131|Магнитогорск|Магнитогорск|Пермь|Большое Савино|04.11.2020 9:18:00|04.11.2020 10:55:00|
NI 9730|Боинг-737|77|Сабетта|Сабетта|Красноярск|Емельяново|04.11.2020 10:07:00|04.11.2020 11:10:00|
LU 3040|Ту-154 |115|Архангельск|Талаги|Екатеринбург|Кольцово|04.11.2020 16:27:00|04.11.2020 18:03:00|
HY 4043|ИЛ-96|148|Краснодар|Пашковский|Томск|Богашёво|04.11.2020 1:25:00|04.11.2020 5:09:00|
PL 7119|Ту-134|36|Уфа|Уфа|Ульяновск|Восточный|04.11.2020 10:21:00|04.11.2020 11:59:00|
AY 5901|ИЛ-86|133|Москва|Домодедово|Оренбург|Оренбург-Центральный|04.11.2020 2:34:00|04.11.2020 6:58:00|
EZ 2442|Аэробус-A310|149|Псков|Кресты|Минеральные Воды|Минеральные Воды|04.11.2020 21:54:00|04.11.2020 23:14:00|
XS 0739|Аэробус-A330|221|Чита|Кадала|Воронеж|Чертовицкое|04.11.2020 4:22:00|04.11.2020 8:18:00|
VR 5915|Аэробус-A310|89|Томск|Богашёво|Калуга|Грабцево|04.11.2020 20:27:00|04.11.2020 23:04:00|
TX 4776|Боинг-777|231|Москва|Внуково|Уфа|Уфа|04.11.2020 3:41:00|04.11.2020 5:25:00|
RC 5150|Ту-134|76|Минеральные Воды|Минеральные Воды|Москва|Шереметьево|04.11.2020 5:41:00|04.11.2020 7:40:00|
OP 8911|ИЛ-62|193|Тюмень|Рощино|Южно - Сахалинск|Хомутово|04.11.2020 20:11:00|04.11.2020 22:44:00|
GA 7423|ИЛ-62|193|Москва|Шереметьево|Симферополь|Симферополь|04.11.2020 16:38:00|04.11.2020 20:22:00|
XS 6731|Ту-134|65|Красноярск|Емельяново|Псков|Кресты|04.11.2020 3:26:00|04.11.2020 7:05:00|
NA 2386|Боинг-777|99|Нижневартовск|Нижневартовск|Псков|Кресты|04.11.2020 22:57:00|05.11.2020 0:43:00|
VS 2861|ИЛ-86|206|Москва|Домодедово|Ульяновск|Восточный|04.11.2020 6:03:00|04.11.2020 9:36:00|
KR 8276|Ту-134|68|Москва|Домодедово|Улан - Удэ|Мухино|04.11.2020 17:08:00|04.11.2020 21:36:00|
QK 5277|Боинг-737|44|Курск|Восточный|Петропавловск - Камчатский|Елизово|04.11.2020 6:25:00|04.11.2020 7:31:00|
WE 1559|ИЛ-62|90|Абакан|Абакан|Ульяновск|Баратаевка|04.11.2020 8:12:00|04.11.2020 12:45:00|
PN 5465|Аэробус-A330|361|Благовещенск|Игнатьево|Курумоч|Курумоч|04.11.2020 0:08:00|04.11.2020 1:23:00|
FU 5355|Боинг-747|240|Омск|Омск-Центральный|Челябинск|Баландино|04.11.2020 10:54:00|04.11.2020 12:58:00|
XB 6081|Ту-154 |146|Махачкала|Уйташ|Уфа|Уфа|04.11.2020 12:53:00|04.11.2020 13:56:00|
LK 2941|ИЛ-96|117|Москва|Внуково|Абакан|Абакан|04.11.2020 17:38:00|04.11.2020 19:55:00|
ZP 1701|ИЛ-96М|232|Симферополь|Симферополь|Улан - Удэ|Мухино|04.11.2020 2:04:00|04.11.2020 6:34:00|
CW 1139|ИЛ-96-300|172|Ульяновск|Баратаевка|Волгоград|Гумрак|04.11.2020 10:36:00|04.11.2020 13:36:00|
IF 7389|ИЛ-96|115|Москва|Внуково|Саратов|Гагарин|04.11.2020 17:35:00|04.11.2020 21:54:00|
PP 6981|Боинг-747|200|Курган|Курган|Курск|Восточный|04.11.2020 7:16:00|04.11.2020 10:46:00|
ZT 8917|Сc-100|65|Ульяновск|Восточный|Ярославль|Туношна|04.11.2020 13:21:00|04.11.2020 18:07:00|
TL 3434|ИЛ-96М|297|Петрозаводск|Петрозаводск|Брянск|Брянск|04.11.2020 19:51:00|04.11.2020 22:05:00|
IZ 9924|Ту-154 |76|Волгоград|Гумрак|Иркутск|Иркутск|04.11.2020 16:29:00|04.11.2020 19:38:00|
QA 3531|Аэробус-A320|243|Якутск|Якутск|Волгоград|Гумрак|04.11.2020 3:53:00|04.11.2020 8:50:00|
BL 0109|Ту-154 |144|Москва|Шереметьево|Мурманск|Мурманск|04.11.2020 13:52:00|04.11.2020 17:59:00|
RU 6047|Боинг-767|215|Москва|Жуковский|Волгоград|Гумрак|04.11.2020 5:04:00|04.11.2020 9:01:00|
LY 3258|Ту-154 |71|Омск|Омск-Центральный|Москва|Внуково|04.11.2020 4:02:00|04.11.2020 5:42:00|
KS 6597|Аэробус-A320|185|Южно - Сахалинск|Хомутово|Москва|Внуково|04.11.2020 5:58:00|04.11.2020 9:40:00|
SN 2458|Ту-134|49|Калуга|Грабцево|Ульяновск|Восточный|04.11.2020 11:09:00|04.11.2020 15:44:00|
ZZ 5584|Боинг-777|122|Анапа|Витязево|Нижнекамск|Бегишево|04.11.2020 3:52:00|04.11.2020 5:50:00|
FS 1781|ИЛ-86|289|Минеральные Воды|Минеральные Воды|Владивосток|Кневичи|04.11.2020 0:05:00|04.11.2020 4:33:00|
PM 8451|ИЛ-96|57|Абакан|Абакан|Хабаровск|Хабаровск-Новый|04.11.2020 0:22:00|04.11.2020 3:42:00|
ZM 3340|Аэробус-A310|92|Курск|Восточный|Провидения|Бухта Провидения|04.11.2020 3:29:00|04.11.2020 4:41:00|
OC 0365|ИЛ-96М|420|Варандей|Варандей|Абакан|Абакан|04.11.2020 11:36:00|04.11.2020 16:18:00|
