Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
FG 4365|ИЛ-86|305|Москва|Шереметьево|Ульяновск|Баратаевка|13.06.2021 14:27:00|13.06.2021 17:09:00|
LK 3182|ИЛ-62|92|Мурманск|Мурманск|Самара|Самара|13.06.2021 18:56:00|13.06.2021 20:27:00|
ZA 3763|Сc-100|73|Провидения|Бухта Провидения|Улан - Удэ|Мухино|13.06.2021 15:27:00|13.06.2021 17:55:00|
QV 4945|Ту-204|103|Нижнекамск|Бегишево|Калуга|Грабцево|13.06.2021 3:21:00|13.06.2021 7:18:00|
LY 9086|ИЛ-96|123|Сургут|Сургут|Чита|Кадала|13.06.2021 13:45:00|13.06.2021 15:29:00|
UU 7086|Аэробус-A320|171|Иркутск|Иркутск|Москва|Жуковский|13.06.2021 19:29:00|13.06.2021 21:23:00|
YX 8212|ИЛ-86|296|Провидения|Бухта Провидения|Ярославль|Туношна|13.06.2021 15:33:00|13.06.2021 20:16:00|
QW 8298|Сc-100|47|Краснодар|Пашковский|Чебоксары|Чебоксары|13.06.2021 11:25:00|13.06.2021 14:09:00|
SL 2471|Аэробус-A310|140|Москва|Шереметьево|Петропавловск - Камчатский|Елизово|13.06.2021 16:32:00|13.06.2021 20:42:00|
OA 2621|ИЛ-96М|403|Курумоч|Курумоч|Петропавловск - Камчатский|Елизово|13.06.2021 16:58:00|13.06.2021 20:01:00|
MU 9983|Боинг-737|90|Улан - Удэ|Мухино|Ростов - на - Дону|Платов|13.06.2021 16:07:00|13.06.2021 17:57:00|
DM 2541|Аэробус-A330|169|Новокузнецк|Спиченково|Улан - Удэ|Мухино|13.06.2021 23:38:00|14.06.2021 3:15:00|
OB 5705|ИЛ-96М|212|Воронеж|Чертовицкое|Курск|Восточный|13.06.2021 16:31:00|13.06.2021 20:22:00|
IZ 0475|ИЛ-96М|141|Сабетта|Сабетта|Омск|Омск-Центральный|13.06.2021 15:08:00|13.06.2021 16:52:00|
GI 3449|ИЛ-62|92|Астрахань|Нариманово|Хабаровск|Хабаровск-Новый|13.06.2021 4:05:00|13.06.2021 7:21:00|
TJ 9265|Ту-134|76|Ульяновск|Восточный|Элиста|Элиста|13.06.2021 0:01:00|13.06.2021 1:19:00|
SR 6639|Аэробус-A310|170|Южно - Сахалинск|Хомутово|Казань|Казань|13.06.2021 20:43:00|14.06.2021 1:13:00|
ZU 4289|ИЛ-96|76|Москва|Внуково|Ханты - Мансийск|Ханты - Мансийск|13.06.2021 2:22:00|13.06.2021 6:58:00|
WE 4733|ИЛ-96|100|Новосибирск|Толмачёво|Владивосток|Кневичи|13.06.2021 14:23:00|13.06.2021 17:27:00|
ID 6130|ИЛ-96М|365|Тюмень|Рощино|Сургут|Сургут|13.06.2021 5:38:00|13.06.2021 6:59:00|
RH 8025|ИЛ-62|123|Улан - Удэ|Мухино|Нижнекамск|Бегишево|13.06.2021 10:16:00|13.06.2021 14:51:00|
FI 5218|Боинг-747|160|Псков|Кресты|Череповец|Череповец|13.06.2021 12:13:00|13.06.2021 15:14:00|
QC 1232|Ту-154 |74|Казань|Казань|Тюмень|Рощино|13.06.2021 11:31:00|13.06.2021 16:07:00|
EE 0492|Боинг-767|162|Омск|Омск-Центральный|Кемерово|Кемерово|13.06.2021 6:37:00|13.06.2021 10:17:00|
AX 7463|Боинг-737|92|Нижневартовск|Нижневартовск|Нижнекамск|Бегишево|13.06.2021 8:34:00|13.06.2021 10:13:00|
TY 6240|Аэробус-A320|114|Симферополь|Симферополь|Сочи|Адлер|13.06.2021 6:11:00|13.06.2021 10:57:00|
UI 0458|Аэробус-A320|197|Ульяновск|Восточный|Кемерово|Кемерово|13.06.2021 11:44:00|13.06.2021 13:17:00|
EL 1657|Боинг-767|220|Астрахань|Нариманово|Саратов|Гагарин|13.06.2021 20:15:00|14.06.2021 0:25:00|
YN 4604|ИЛ-62|161|Брянск|Брянск|Нижнекамск|Бегишево|13.06.2021 17:59:00|13.06.2021 22:48:00|
DN 5391|ИЛ-96М|230|Южно - Сахалинск|Хомутово|Анапа|Витязево|13.06.2021 2:09:00|13.06.2021 5:24:00|
OR 2512|Аэробус-A330|335|Санкт - Петербург|Пулково|Грозный|Северный|13.06.2021 5:12:00|13.06.2021 6:21:00|
SA 9246|Аэробус-A320|125|Чита|Кадала|Курск|Восточный|13.06.2021 17:47:00|13.06.2021 21:30:00|
LD 2945|Боинг-767|233|Якутск|Якутск|Петропавловск - Камчатский|Елизово|13.06.2021 21:55:00|14.06.2021 1:02:00|
XY 8231|Аэробус-A330|167|Благовещенск|Игнатьево|Череповец|Череповец|13.06.2021 0:45:00|13.06.2021 4:02:00|
DF 3375|Боинг-737|74|Нижневартовск|Нижневартовск|Краснодар|Пашковский|13.06.2021 9:44:00|13.06.2021 13:46:00|
KO 1470|ИЛ-62|187|Ульяновск|Восточный|Москва|Домодедово|13.06.2021 11:42:00|13.06.2021 12:45:00|
HW 5652|Сc-100|88|Анапа|Витязево|Магнитогорск|Магнитогорск|13.06.2021 14:36:00|13.06.2021 18:52:00|
AR 0293|ИЛ-96-300|178|Москва|Шереметьево|Минеральные Воды|Минеральные Воды|13.06.2021 23:38:00|14.06.2021 1:12:00|
ND 6618|Аэробус-A320|220|Челябинск|Баландино|Саранск|Саранск|13.06.2021 22:51:00|14.06.2021 2:49:00|
TF 9695|Боинг-747|290|Ростов - на - Дону|Платов|Варандей|Варандей|13.06.2021 21:33:00|14.06.2021 0:32:00|
WU 4165|Боинг-777|135|Краснодар|Пашковский|Саратов|Гагарин|13.06.2021 5:23:00|13.06.2021 7:25:00|
ZN 0440|ИЛ-96|77|Екатеринбург|Кольцово|Чита|Кадала|13.06.2021 15:47:00|13.06.2021 18:31:00|
AX 1237|Ту-154 |114|Ставрополь|Шпаковское|Москва|Домодедово|13.06.2021 7:46:00|13.06.2021 8:54:00|
OV 3886|ИЛ-62|155|Томск|Богашёво|Ханты - Мансийск|Ханты - Мансийск|13.06.2021 22:09:00|14.06.2021 1:55:00|
XR 3828|ИЛ-86|146|Воронеж|Чертовицкое|Екатеринбург|Кольцово|13.06.2021 5:59:00|13.06.2021 8:31:00|
DO 6957|Аэробус-A330|256|Сочи|Адлер|Оренбург|Оренбург-Центральный|13.06.2021 19:19:00|13.06.2021 20:51:00|
NF 7692|Ту-204|161|Чита|Кадала|Красноярск|Емельяново|13.06.2021 21:07:00|14.06.2021 0:05:00|
AX 1618|ИЛ-96|81|Элиста|Элиста|Архангельск|Талаги|13.06.2021 19:21:00|13.06.2021 21:12:00|
SI 0545|Ту-204|193|Улан - Удэ|Мухино|Нижнекамск|Бегишево|13.06.2021 13:18:00|13.06.2021 18:10:00|
VZ 5330|ИЛ-96|82|Красноярск|Емельяново|Петропавловск - Камчатский|Елизово|13.06.2021 14:54:00|13.06.2021 18:41:00|
SL 7567|ИЛ-96М|140|Курумоч|Курумоч|Магнитогорск|Магнитогорск|13.06.2021 21:21:00|14.06.2021 1:34:00|
PM 6525|ИЛ-86|130|Анапа|Витязево|Курумоч|Курумоч|13.06.2021 16:34:00|13.06.2021 20:16:00|
ZN 9164|Аэробус-A320|220|Белгород|Белгород|Москва|Жуковский|13.06.2021 2:15:00|13.06.2021 6:27:00|
XZ 9136|Ту-134|66|Курумоч|Курумоч|Москва|Домодедово|13.06.2021 14:42:00|13.06.2021 16:58:00|
MG 5400|Ту-134|30|Анапа|Витязево|Пермь|Большое Савино|13.06.2021 1:32:00|13.06.2021 5:16:00|
AL 0255|ИЛ-86|201|Тюмень|Рощино|Пермь|Большое Савино|13.06.2021 5:52:00|13.06.2021 8:07:00|
QG 1053|ИЛ-96-300|144|Нальчик|Нальчик|Братск|Братск|13.06.2021 6:41:00|13.06.2021 9:20:00|
WU 7718|Аэробус-A310|143|Иркутск|Иркутск|Курган|Курган|13.06.2021 12:23:00|13.06.2021 16:55:00|
WP 8193|ИЛ-96М|347|Анапа|Витязево|Москва|Жуковский|13.06.2021 21:58:00|13.06.2021 23:13:00|
JE 3957|Аэробус-A310|70|Мурманск|Мурманск|Белгород|Белгород|13.06.2021 16:04:00|13.06.2021 18:46:00|
OU 6825|Аэробус-A320|194|Курск|Восточный|Белгород|Белгород|13.06.2021 12:17:00|13.06.2021 13:50:00|
NT 7088|Боинг-737|41|Калининград|Храброво|Нижний Новгород|Стригино|13.06.2021 8:16:00|13.06.2021 12:09:00|
ZX 7621|Ту-154 |106|Южно - Сахалинск|Хомутово|Кемерово|Кемерово|13.06.2021 2:12:00|13.06.2021 3:56:00|
II 4308|Аэробус-A320|160|Тюмень|Рощино|Москва|Шереметьево|13.06.2021 9:26:00|13.06.2021 11:31:00|
CO 3072|ИЛ-96М|291|Улан - Удэ|Мухино|Ханты - Мансийск|Ханты - Мансийск|13.06.2021 21:43:00|14.06.2021 1:56:00|
AY 6986|Боинг-737|84|Пермь|Большое Савино|Нальчик|Нальчик|13.06.2021 16:55:00|13.06.2021 19:54:00|
GJ 2933|Ту-204|64|Курск|Восточный|Сыктывкар|Сыктывкар|13.06.2021 4:52:00|13.06.2021 7:57:00|
CK 6445|Аэробус-A310|81|Москва|Внуково|Мурманск|Мурманск|13.06.2021 20:50:00|14.06.2021 0:03:00|
XJ 6286|Ту-204|100|Санкт - Петербург|Пулково|Челябинск|Баландино|13.06.2021 6:53:00|13.06.2021 10:05:00|
FG 8043|Ту-154 |88|Сыктывкар|Сыктывкар|Варандей|Варандей|13.06.2021 23:06:00|14.06.2021 0:22:00|
RO 2114|Ту-154 |133|Омск|Омск-Центральный|Новокузнецк|Спиченково|13.06.2021 8:05:00|13.06.2021 12:52:00|
GL 2173|Аэробус-A310|164|Абакан|Абакан|Анадырь|Угольный|13.06.2021 9:19:00|13.06.2021 10:30:00|
SZ 1056|Ту-204|179|Нижний Новгород|Стригино|Тюмень|Рощино|13.06.2021 22:32:00|14.06.2021 2:34:00|
CX 7904|Боинг-777|146|Улан - Удэ|Мухино|Махачкала|Уйташ|13.06.2021 2:40:00|13.06.2021 5:08:00|
GF 2138|Боинг-747|112|Элиста|Элиста|Магнитогорск|Магнитогорск|13.06.2021 14:32:00|13.06.2021 15:36:00|
KN 1083|Аэробус-A310|55|Омск|Омск-Центральный|Тюмень|Рощино|13.06.2021 1:01:00|13.06.2021 5:56:00|
NO 5630|ИЛ-86|124|Братск|Братск|Провидения|Бухта Провидения|13.06.2021 13:22:00|13.06.2021 16:23:00|
WL 6841|ИЛ-96-300|83|Ставрополь|Шпаковское|Анапа|Витязево|13.06.2021 6:47:00|13.06.2021 9:44:00|
XE 3061|Ту-154 |83|Череповец|Череповец|Нальчик|Нальчик|13.06.2021 12:19:00|13.06.2021 13:23:00|
FY 8536|Аэробус-A320|148|Калуга|Грабцево|Ульяновск|Восточный|13.06.2021 8:39:00|13.06.2021 11:14:00|
BH 9133|Боинг-747|268|Курск|Восточный|Калининград|Храброво|13.06.2021 18:05:00|13.06.2021 22:47:00|
AU 1121|ИЛ-96М|251|Самара|Самара|Казань|Казань|13.06.2021 3:11:00|13.06.2021 6:55:00|
JE 1520|ИЛ-86|158|Калининград|Храброво|Новосибирск|Толмачёво|13.06.2021 8:44:00|13.06.2021 10:24:00|
YD 1191|ИЛ-96-300|154|Екатеринбург|Кольцово|Москва|Внуково|13.06.2021 5:07:00|13.06.2021 8:31:00|
YE 0238|Ту-134|70|Ростов - на - Дону|Платов|Саратов|Гагарин|13.06.2021 18:47:00|13.06.2021 23:46:00|
ZZ 6177|ИЛ-96|63|Чебоксары|Чебоксары|Барнаул|Барнаул|13.06.2021 5:29:00|13.06.2021 7:32:00|
QK 2468|ИЛ-96|135|Сыктывкар|Сыктывкар|Калининград|Храброво|13.06.2021 7:01:00|13.06.2021 8:44:00|
